area_type,location,total_sqft,size,bath,balcony,price
Plot  Area,Whitefield,5700,4,5,3,650
Built-up  Area,Varthur,1160,2,2,2,44
Built-up  Area,Bommanahalli,3000,8,8,0,140
Super built-up  Area,Doddathoguru,1100,2,2,1,62
Super built-up  Area,Gunjur,1140,2,2,3,43
Super built-up  Area,Marathahalli,1220,2,2,1,57
Plot  Area,Devarachikkanahalli,1350,8,7,0,85
Super built-up  Area,Kanakpura Road,1005,2,2,1,36.68
Plot  Area,Double Road,500,3,3,2,100
Super built-up  Area,Begur Road,1358,2,2,1,80.58
Super built-up  Area,Hegde Nagar,1569,3,3,1,101
Super built-up  Area,Haralur Road,1240,2,2,1,70
Super built-up  Area,Hennur Road,2089,3,3,2,140
Super built-up  Area,Kothannur,1206,2,2,1,48.23
Super built-up  Area,Kalena Agrahara,1150,2,2,3,40
Built-up  Area,Cholanayakanahalli,2511,3,3,3,205
Built-up  Area,Kaval Byrasandra,460,2,1,0,22
Built-up  Area,ISRO Layout,4400,6,6,3,250
Super built-up  Area,Kodanda Reddy Layout,1660,3,2,2,105
Built-up  Area,Hennur Road,3150,4,2,1,224.5
Super built-up  Area,Yelahanka,1326,2,2,2,78
Super built-up  Area,Garudachar Palya,1325,3,2,2,60.8
Super built-up  Area,EPIP Zone,1499,3,5,2,102
Built-up  Area,Hegde Nagar,3000,6,7,2,210
Super built-up  Area,Kanakpura Road,1665,3,3,2,88
Super built-up  Area,Dasanapura,708,2,2,2,37
Super built-up  Area,Kasavanhalli,1060,2,2,2,58.06
Plot  Area,Rajaji Nagar,710,6,6,3,160
Built-up  Area,Sanjay nagar,1000,2,2,2,70
Super built-up  Area,Electronic City,1000,2,2,1,28.88
Super built-up  Area, Mysore Highway,1450,3,2,2,70
Plot  Area,ISRO Layout,1200,4,4,2,155
Super built-up  Area,Thanisandra,1296,2,2,3,80
Super built-up  Area,Domlur,1540,3,3,2,90
Plot  Area,Kengeri,2894,4,4,1,245
Super built-up  Area,Sarjapura - Attibele Road,1330,3,2,1,48
Built-up  Area,Devasthanagalu,1200,2,2,1,65
Built-up  Area,T Dasarahalli,1200,3,3,1,90
Super built-up  Area,Yeshwanthpur,2502,3,3,3,138
Built-up  Area,Chandapura,650,2,1,1,17
Plot  Area,Kothanur,2400,3,2,1,150
Super built-up  Area,Green View Layout,1007,2,2,2,43
Super built-up  Area,Shantiniketan Layout,1200,2,2,2,50
Super built-up  Area,Peenya,966,2,2,2,49.9
Built-up  Area,Nagarbhavi,1630,3,2,1,98
Built-up  Area,Rajaji Nagar,1640,3,3,2,229
Built-up  Area,Jalahalli West,782,2,2,2,55.68
Super built-up  Area,Devanahalli,1260,2,2,2,66.78
Super built-up  Area,Lakshmiamma Garden,1800,3,3,3,120
Super built-up  Area,Byatarayanapura,1413,3,2,2,75
Super built-up  Area,Whitefield,1116,2,2,1,51.91
Super built-up  Area,Electronic City,1530,3,2,1,45.9
Built-up  Area,Ramamurthy Nagar,3700,4,4,1,225
Built-up  Area,Sarjapur  Road,2497,3,3,2,140
Super built-up  Area,Kengeri,1540,3,2,3,64
Super built-up  Area,Thanisandra,1436,3,3,1,74.75
Super built-up  Area,Malleshwaram,1100,2,2,2,75
Plot  Area,Hennur Road,276,2,3,3,23
Super built-up  Area,Thanisandra,1427,3,3,2,120
Super built-up  Area,Akshaya Nagar,2061,3,3,1,200
Super built-up  Area,Hebbal,5025,4,4,0,477
Built-up  Area,Shampura,2650,4,4,2,150
Super built-up  Area,Devanahalli,1282,3,2,2,68.52
Built-up  Area,Kadugodi,1050,2,2,1,34
Built-up  Area,LB Shastri Nagar,1600,3,3,2,65
Super built-up  Area,Vajarahalli,945,2,2,1,54
Super built-up  Area,Hormavu,1500,2,2,1,78
Plot  Area,Vishwapriya Layout,950,7,7,0,115
Built-up  Area,Peenya,1870,3,3,3,110
Plot  Area,Sarjapur,1600,3,3,1,75
Super built-up  Area,Electronic City,880,2,1,1,16.5
Plot  Area,Ramaswamy Palya - Kammanahalli Main Road,1200,4,4,0,210
Super built-up  Area,Kudlu Gate,1535,3,3,2,83
Built-up  Area,Kanakpura Road,950,2,2,1,57
Super built-up  Area,Devanahalli,1360,2,2,1,65
Super built-up  Area,8th Phase JP Nagar,1078,2,2,0,54.005
Super built-up  Area,Bommasandra Industrial Area,1280,3,3,1,50.4
Super built-up  Area,Chandra Layout,1260,3,2,2,85.05
Built-up  Area,Hennur Road,5000,8,8,1,250
Super built-up  Area,Yelahanka,3050,5,5,1,213
Super built-up  Area,Kasavanhalli,1563,3,3,1,105
Super built-up  Area,ISRO Layout,1000,2,2,1,60
Super built-up  Area,Anandapura,1167,2,2,1,43.76
Super built-up  Area,Vishveshwarya Layout,4000,7,7,2,225
Super built-up  Area,Kothanur,1828,3,3,1,110
Super built-up  Area,Kengeri Satellite Town,890,2,2,1,35
Super built-up  Area,Basavanapura,1612,3,3,3,46.74
Plot  Area,Dinnur,1034,6,5,1,185
Super built-up  Area,Mysore Road,1710,3,4,2,91.31
Super built-up  Area,Kannamangala,957,2,2,1,58
Super built-up  Area, Devarachikkanahalli,1250,3,2,3,44
Super built-up  Area,Sanjeevini Nagar,2795,3,4,1,235
Super built-up  Area,Hulimavu,1125,2,2,2,50
Super built-up  Area,Electronic City Phase II,1020,2,2,1,30.6
Super built-up  Area,Kalena Agrahara,1200,2,2,2,50
Super built-up  Area,Thanisandra,1735,3,3,3,135
Super built-up  Area,Thanisandra,2050,3,3,1,145
Plot  Area,Mahalakshmi Layout,3750,4,4,0,760
Built-up  Area,Yarandahalli,1350,3,2,3,48
Super built-up  Area,Hosa Road,1063,2,2,1,32
Super built-up  Area,Keshava Nagar,1904,3,3,1,150
Built-up  Area,Whitefield,4200,4,4,2,420
Super built-up  Area,RMV Extension,2000,3,3,1,175
Super built-up  Area,Sarjapur,1225,2,2,0,43.49
Super built-up  Area,Tejaswini Nagar,1425,3,2,2,75
Super built-up  Area,Electronic City,1500,3,2,1,64.5
Built-up  Area,Electronic City,1060,2,2,1,60
Built-up  Area,Jai Bheema Nagar,1470,3,2,2,70
Super built-up  Area,Kothnur Narayanapura,1300,6,6,0,99
Super built-up  Area,Attibele,450,1,1,1,11
Super built-up  Area,Electronic City,1152,2,2,1,64.5
Super built-up  Area,Electronic City,1350,3,2,1,56
Super built-up  Area,CV Raman Nagar,1550,3,3,3,65
Plot  Area,CHIKKATIRUPATHI,1500,3,3,2,100
Plot  Area,Kumaraswami Layout,600,5,3,2,85
Plot  Area,Nagavara,400,1,1,0,14
Super built-up  Area,Malleshwaram,705,1,1,2,67
Built-up  Area,Electronic City,770,2,1,1,36
Super built-up  Area,Hulimavu,1242,2,2,3,51
Super built-up  Area,Hebbal Kempapura,1700,3,3,2,155
Super built-up  Area,Thanisandra,2144,3,3,2,145
Super built-up  Area,Vijayanagar,1704,3,3,2,110
Super built-up  Area,Electronic City,1070,2,2,1,52
Plot  Area,8th block Koramangala,1846,3,3,2,300
Super built-up  Area,Jakkuru Layout,1340,2,2,2,55.7
Built-up  Area,Electronic City,1025,2,2,1,46
Super built-up  Area,KR Puram,1315,2,2,0,56.8
Super built-up  Area,Marathahalli,1200,2,2,2,52
Built-up  Area,Kanakpura Road,2250,4,4,1,110
Super built-up  Area,Pattandur Agrahara,1550,3,2,3,80
Plot  Area,Bellandur,1200,4,5,1,325
Plot  Area,Ejipura,1800,7,7,1,250
Super built-up  Area,Marathahalli,1200,2,2,2,60
Super built-up  Area,Yelahanka,1327,2,2,2,98
Super built-up  Area,Kothanur,1186,2,2,2,58
Built-up  Area,MS Pallya,1783,3,3,1,115
Super built-up  Area,HSR Layout,1400,3,3,2,56
Super built-up  Area,Nagasandra,980,2,2,1,48
Super built-up  Area,EPIP Zone,1285,2,2,2,82
Super built-up  Area,Langford Town,912,3,2,1,70
Built-up  Area,Whitefield,1225,2,2,2,47.6
Super built-up  Area,Whitefield,1075,2,2,1,53
Built-up  Area,Kadugodi,1260,3,2,2,54
Super built-up  Area,Yelahanka,1282,3,2,2,48.7
Super built-up  Area,Kogilu,1909,3,3,2,88
Super built-up  Area,Panathur,1359,2,2,1,87
Built-up  Area,Nagondanahalli,1207,2,2,2,43.5
Plot  Area,Padmanabhanagar,1736,4,6,0,190
Super built-up  Area,1st Block Jayanagar,2850,4,4,1,428
Super built-up  Area,Kammasandra,1595,3,3,2,65
Built-up  Area,"Off Sarjapur Road, ",1798,3,3,2,89
Super built-up  Area,Electronics City Phase 1,1475,3,3,2,78.29
Super built-up  Area,Tala Cauvery Layout,1580,3,3,3,100
Super built-up  Area,Dasarahalli,1295,2,2,1,65
Built-up  Area,Magadi Road,3600,6,6,0,141
Super built-up  Area,Electronic City,589,1,1,1,27
Super built-up  Area,Ngef Layout,1415,3,3,3,78
Super built-up  Area,Sarjapur  Road,1787,3,3,2,98.29
Super built-up  Area,Sarjapur  Road,1787,3,3,2,125
Super built-up  Area,Koramangala,1475,3,2,3,90
Built-up  Area,"Lakshminarayanapura, Electronic City Phase 2",2000,4,4,1,75.5
Super built-up  Area,Sarjapur  Road,984,2,2,1,44.28
Super built-up  Area,Devanahalli,1680,3,2,1,74.82
Super built-up  Area,Muthurayya Swamy Layout,2405,3,4,2,260
Built-up  Area,7th Phase JP Nagar,1080,2,2,2,72
Plot  Area,Shantiniketan Layout,1500,2,2,1,115
Super built-up  Area,Hebbal,1900,3,3,2,119
Super built-up  Area,Dommasandra,805,2,2,1,22.14
Super built-up  Area,Budigere,1153,2,2,2,56.4
Super built-up  Area,Dodda Nekkundi Extension,1148,2,2,2,60
Super built-up  Area,Mylasandra,1110,2,2,2,55
Built-up  Area,Electronic City,1100,2,2,2,42
Super built-up  Area,Kalyan nagar,1290,2,2,2,110
Super built-up  Area,Dr Shivarama Karantha Nagar,1500,3,2,1,65
Super built-up  Area,Bank Of Baroda Colony,1080,2,2,2,39
Super built-up  Area,Vijayanagar,1933,3,3,1,129
Built-up  Area,Ramamurthy Nagar,3500,5,5,2,150
Built-up  Area,Kullappa Colony,1060,2,2,2,60
Super built-up  Area,Chandapura,645,1,1,1,16.45
Plot  Area,Mukkutam Nagar,2600,8,8,2,180
Super built-up  Area,Chandapura,645,1,1,1,16.45
Super built-up  Area,Ashwath Nagar,1644,3,3,3,84
Super built-up  Area,Ncpr Industrial Layout,1285,2,2,3,72.5
Plot  Area,Electronic City,1200,3,3,1,90
Super built-up  Area,Electronic City,910,2,2,1,40
Super built-up  Area,Kothanur,1577,3,3,1,70
Plot  Area,Meenakunte,4050,3,3,2,280
Super built-up  Area,OMBR Layout,2420,3,3,2,185
Super built-up  Area,Chandapura,800,2,1,1,20
Built-up  Area,Anand Nagar,1060,2,2,2,55
Super built-up  Area,7th Phase JP Nagar,1270,2,2,2,93
Super built-up  Area,Shree Ananth Nagar Layout,900,2,2,2,22.5
Built-up  Area,Kundalahalli Colony,1280,2,2,1,69
Plot  Area,Horamavu Agara,1200,4,2,0,95
Built-up  Area,Sarjapur  Road,1025,2,2,2,36
Super built-up  Area,Electronic City,1108,2,2,1,63
Plot  Area,MCECHS  layout,1200,5,5,1,170
Super built-up  Area,Coffee Board Layout,3045,3,3,2,170
Plot  Area,Ambedkar Nagar,2900,4,3,2,300
Super built-up  Area,Vijayanagar,1500,3,3,2,75.5
Super built-up  Area,Raja Rajeshwari Nagar,1295,2,2,2,43.9
Super built-up  Area,Budigere,1162,2,2,1,59.9
Super built-up  Area,Sarjapur  Road,1035,2,2,2,49.2
Built-up  Area,Attibele,1600,4,4,0,52.8
Super built-up  Area,KUDLU MAIN ROAD,1464,3,3,2,46
Super built-up  Area,Hennur Road,1866,3,2,2,61.58
Super built-up  Area,Geleyara Balaga Layout,700,2,1,1,26
Super built-up  Area,Kalena Agrahara,1804,3,3,2,120
Super built-up  Area,Sarjapur,913,2,2,1,32
Super built-up  Area,Talaghattapura,1868,3,3,2,131
Built-up  Area,Kengeri Satellite Town,883,2,2,1,45
Plot  Area,Sundara Nagar,900,2,2,1,110
Super built-up  Area,Kogilu,1664,3,2,3,73.95
Super built-up  Area,Hegde Nagar,2026,3,3,2,132
Super built-up  Area,Balagere,1210,2,2,1,80.9
Plot  Area,Meenakunte,4111,4,4,2,250
Super built-up  Area,Kadugodi,1762,3,3,3,91.45
Super built-up  Area,Jigani,1252,3,3,3,55
Built-up  Area,Gollarapalya Hosahalli,861,2,2,1,34.5
Built-up  Area,7th Phase JP Nagar,1420,3,2,1,100
Plot  Area,Srirampura,1450,6,6,0,250
Built-up  Area,Electronics City Phase 1,1490,3,3,1,78.8
Super built-up  Area,Bisuvanahalli,1075,3,2,1,46
Super built-up  Area,Old Madras Road,1425,3,2,2,94
Built-up  Area,Kalena Agrahara,1200,2,2,1,40
Super built-up  Area,Kaggadasapura,1280,3,2,2,56
Super built-up  Area,Silver Springs Layout,1084,2,2,2,50
Super built-up  Area,Chandapura,1015,2,2,2,25.88
Super built-up  Area,Kanakpura Road,1017,2,2,1,51.25
Super built-up  Area,Haralur Road,1027,2,2,2,44
Super built-up  Area,Electronic City Phase II,1069,2,2,2,45
Super built-up  Area,Hebbal,1349,2,2,1,98.2
Super built-up  Area,9th Phase JP Nagar,1005,2,2,1,50
Super built-up  Area,Jakkur,1417,2,2,3,75
Plot  Area,TC Palaya,1475,3,3,1,98
Carpet  Area,Maruthi Sevanagar,950,2,2,2,47
Super built-up  Area,RMV 2nd Stage,2000,4,4,0,120
Plot  Area,Giri Nagar,880,3,3,1,140
Super built-up  Area,Sarjapur  Road,1863,4,3,2,104
Super built-up  Area,Singasandra,1010,2,2,1,29.5
Super built-up  Area,Kalena Agrahara,1425,3,2,1,70
Super built-up  Area,Vijayanagar,1450,3,3,0,100
Super built-up  Area,Kothanur,1847,3,3,2,105
Super built-up  Area,AECS Layout,1100,2,2,3,45
Super built-up  Area,Kanakpura Road,525,1,1,1,26
Super built-up  Area,Mallasandra,1665,3,3,2,95
Super built-up  Area,Begur,1664,4,4,3,65
Super built-up  Area,JP Nagar,1850,3,3,3,150
Super built-up  Area,Panathur,1438,2,2,3,100
Super built-up  Area,Sunder Ram Shetty Nagar,1560,3,3,3,115
Super built-up  Area,Yelahanka,1350,2,2,1,55.55
Super built-up  Area,Kanakpura Road,1550,3,3,3,67
Super built-up  Area,Malleshpalya,1140,2,2,2,46.5
Plot  Area,Srirampura,1200,5,5,2,180
Super built-up  Area,Kodathi,850,2,2,2,27
Super built-up  Area,Whitefield,1280,2,2,2,75
Built-up  Area,Munnekollal,1170,2,2,2,52
Super built-up  Area,Motappa Layout,1113,2,2,1,51
Super built-up  Area,Hennur Road,1385,2,2,1,83.09
Super built-up  Area,Electronic City,1128,2,2,1,65
Plot  Area,Marathahalli,1200,2,2,2,128
Plot  Area,Akshaya Vana,1200,4,4,3,165
Super built-up  Area,Rajaji Nagar,2390,3,3,2,415
Plot  Area,Giri Nagar,2400,4,4,1,400
Super built-up  Area,Haralur Road,1464,3,3,2,56
Super built-up  Area,Manayata Tech Park,1200,2,2,2,55
Super built-up  Area,Kaval Byrasandra,1200,2,2,2,52
Super built-up  Area,Kaggalipura,1150,3,2,1,55
Built-up  Area,Basavanna Nagar,1645,3,3,2,95
Super built-up  Area,Sarjapur  Road,1000,2,2,1,67
Plot  Area,Haralur Road,2650,4,4,2,198
Super built-up  Area,6th Phase JP Nagar,1192,2,2,2,74
Super built-up  Area,Ulsoor,2135,3,3,2,215
Super built-up  Area,Whitefield,1173,2,2,1,58
Built-up  Area,Uttarahalli,1020,2,2,2,45
Super built-up  Area,Thigalarapalya,3122,4,6,2,230
Super built-up  Area,Somasundara Palya,1600,3,3,3,64
Plot  Area,T.C PALYA,1200,2,2,0,79
Carpet  Area,Muneshwara Nagar,1230,2,2,3,48
Super built-up  Area, Devarachikkanahalli,1250,2,2,2,40
Super built-up  Area,Kalena Agrahara,1325,2,2,2,76
Built-up  Area,7th Phase JP Nagar,1850,3,3,1,150
Super built-up  Area,Kanakpura Road,525,1,2,1,21.53
Super built-up  Area,Basaveshwara Nagar,1200,2,2,2,65
Plot  Area,Bull Temple Road,1350,3,2,0,140
Super built-up  Area,Bommasandra,1260,3,3,1,49.36
Super built-up  Area,Prashanth Nagar,1800,3,3,0,150
Plot  Area,Suragajakkanahalli,11,3,3,2,74
Built-up  Area,Ardendale,1100,2,2,1,43.25
Super built-up  Area,Harlur,1508,2,2,1,77
Carpet  Area,Sampigehalli,1592,3,3,2,75
Super built-up  Area,Akshaya Nagar,1388,2,2,3,57
Super built-up  Area,Electronic City Phase II,630,1,1,1,28.35
Plot  Area,RMV,2000,3,3,2,365
Super built-up  Area,Banashankari3rd stage bigbazar,1762,3,3,1,125
Super built-up  Area,Bagalur Main Road,950,2,2,2,50
Super built-up  Area,Kodihalli,3252,4,5,3,335
Super built-up  Area,Magadi Road,1116,2,2,1,50
Super built-up  Area,Narayanapura,1308,2,2,2,89.04
Super built-up  Area,MS Pallya,1200,3,3,0,90
Plot  Area,Binny Mills Employees Colony,1500,4,4,2,230
Built-up  Area,Bannerghatta Road,500,1,1,1,18.5
Super built-up  Area,Hennur,1075,2,2,1,52
Super built-up  Area,Chandapura,530,1,1,0,11.66
Built-up  Area,Bellandur,1205,2,2,3,66
Super built-up  Area,5th Phase JP Nagar,1075,2,2,2,60
Built-up  Area,KR Puram,930,2,2,2,39
Super built-up  Area,Balagere,1380,2,2,1,60
Super built-up  Area,Hebbal,2483,4,5,2,212
Built-up  Area,Kodigehaali,1166,2,2,2,55
Super built-up  Area,Bannerghatta Road,1050,2,2,1,65
Super built-up  Area,Gopalapura,2023,3,3,2,275
Super built-up  Area,Begur Road,1200,2,2,2,46.8
Super built-up  Area,Lakshminarayana Pura,1600,3,2,1,108
Super built-up  Area,Billekahalli,1935,3,3,2,110
Super built-up  Area,8th Phase JP Nagar,451,1,1,0,29.9
Super built-up  Area,Electronic City,1800,3,3,2,95
Super built-up  Area,Jalahalli,1400,3,3,0,77
Super built-up  Area,Hegde Nagar,1801,3,3,2,115
Built-up  Area,Mahadevpura,1451,2,2,1,90
Plot  Area,Anekal,1200,2,1,1,36
Super built-up  Area,Begur Road,1160,2,2,2,44
Built-up  Area,Kengeri,1000,2,2,1,25
Super built-up  Area,Kanakpura Road,950,2,2,1,40
Built-up  Area,"Hoodi Circle, ",1629,3,3,2,79
Built-up  Area,Vijayanagar,1580,3,2,0,134
Super built-up  Area,Vijayanagar,1826,3,3,2,121
Built-up  Area,7th Phase JP Nagar,1245,2,2,1,94
Super built-up  Area,Raja Rajeshwari Nagar,1145,2,2,2,45.79
Super built-up  Area,Sompura,825,2,2,1,33
Super built-up  Area,Yeshwanthpur,1693,3,3,3,108
Super built-up  Area,Electronics City Phase 1,1113,2,2,2,53
Built-up  Area,Ashirvad Colony,1460,2,2,1,58
Built-up  Area,Doddathoguru,1050,2,2,1,32
Built-up  Area,Dodda Nekkundi,1260,2,2,2,55
Super built-up  Area,K N Extension,700,6,3,1,120
Built-up  Area,Hosur Road,1656,2,2,1,120
Super built-up  Area,Chandapura,1208,3,3,1,45
Super built-up  Area,Whitefield,1910,3,3,2,161
Super built-up  Area,Whitefield,3252,4,4,1,230
Plot  Area,Battarahalli,1200,2,2,1,65
Super built-up  Area,Gokula Extension,1200,4,4,1,175
Super built-up  Area,7th Phase JP Nagar,1175,2,2,1,82
Plot  Area,Kamakshipalya,1000,2,2,0,165
Plot  Area,Bannerghatta Road,1200,4,2,0,125
Super built-up  Area,Rajaji Nagar,2390,3,3,2,410
Super built-up  Area,Rajaji Nagar,12000,7,6,3,2200
Plot  Area,Sultan Palaya,550,2,1,1,62
Super built-up  Area,Kengeri,3446,1,1,0,18.5
Super built-up  Area,Sanne Amanikere,1185,2,2,1,38
Super built-up  Area,Kengeri,750,2,2,1,38
Plot  Area,Mahalakshmi Layout,1200,6,7,3,250
Super built-up  Area,Kanakpura Road,1550,3,3,3,64.5
Built-up  Area,Amco Colony,1760,3,3,2,88
Super built-up  Area,Billekahalli,1125,2,2,2,62
Plot  Area,Nagarbhavi,1350,3,3,2,150
Plot  Area,Anandapura,1000,2,2,1,55
Built-up  Area,Bommasandra Industrial Area,1090,2,2,2,31.48
Plot  Area,TC Palaya,1200,2,2,0,60
Super built-up  Area,Budigere,1991,3,4,2,103
Super built-up  Area,Bommasandra,1060,2,2,1,26.5
Super built-up  Area,Ambalipura,1105,2,2,1,75
Built-up  Area,Hoodi,985,2,2,2,67
Plot  Area,Chandapura,1533,6,5,3,85
Super built-up  Area,Balagere,1590,3,3,2,79
Super built-up  Area,CV Raman Nagar,1120,2,2,2,55
Super built-up  Area,Samethanahalli,1069,2,2,1,55
Super built-up  Area,Marathahalli,1933,3,3,2,140
Built-up  Area,Hosur Road,1194,2,2,0,69
Super built-up  Area,Brookefield,1150,2,2,3,69
Super built-up  Area,Yelenahalli,1240,2,2,2,47.12
Super built-up  Area,Raja Rajeshwari Nagar,1419,2,2,2,48.1
Plot  Area,7th Phase JP Nagar,1200,8,8,1,250
Super built-up  Area,Richmond Town,2150,3,4,1,240
Super built-up  Area,Suddaguntepalya,1450,3,3,2,55
Super built-up  Area,Udayapur Village,1630,3,3,2,68.29
Super built-up  Area,Dasanapura,708,2,1,1,40
Plot  Area,Kasavanhalli,1000,3,4,3,110
Plot  Area,Whitefield,11890,4,4,3,700
Super built-up  Area,Bellandur,1250,2,2,1,76
Super built-up  Area,7th Phase JP Nagar,1400,3,2,1,95
Super built-up  Area,Sarjapur  Road,1670,3,2,3,57
Super built-up  Area,Ardendale,1750,3,3,2,100
Super built-up  Area,Vittasandra,1404,2,2,1,71
Super built-up  Area,Hoodi,1715,3,2,2,95
Built-up  Area,Electronic City,630,1,1,1,34.65
Super built-up  Area,Harlur,1752,3,3,2,135
Super built-up  Area,Hulimavu,1650,3,3,2,78
Super built-up  Area,Raja Rajeshwari Nagar,1295,2,2,1,55.47
Plot  Area,Giri Nagar,1800,3,3,2,252
Super built-up  Area,Sarjapur  Road,1346,2,2,1,74.03
Plot  Area,Thippasandra,1200,4,4,2,200
Super built-up  Area,Hormavu,1150,2,2,2,55
Built-up  Area,Chikkabidarakallu,3309,4,4,3,325
Super built-up  Area,Chandapura,1190,3,2,2,30.35
Super built-up  Area,AECS Layout,1620,3,3,2,98
Super built-up  Area,Marathahalli,950,2,2,1,46.96
Super built-up  Area,1 Giri Nagar,5000,11,9,3,360
Super built-up  Area,Harlur,2450,3,3,0,120
Super built-up  Area,Electronic City Phase II,1220,3,2,1,35.23
Super built-up  Area,Hoysalanagar,850,2,2,1,30
Built-up  Area,Padmanabhanagar,1020,2,2,2,63
Built-up  Area,Chikkalasandra,1100,2,2,2,50
Super built-up  Area,Defence Colony,1150,2,2,2,126
Super built-up  Area,Hebbal,1760,3,2,2,130
Super built-up  Area,Ambalipura,1800,3,3,3,110
Super built-up  Area,Akshaya Nagar,1070,2,2,1,54
Plot  Area,2nd Stage Nagarbhavi,1500,4,4,2,220
Plot  Area,Vidyaranyapura,1440,2,2,0,95
Super built-up  Area,Amruthahalli,900,2,2,1,40
Built-up  Area,ITI Employees Layout,1200,4,4,1,230
Super built-up  Area,Whitefield,1130,2,2,1,42.16
Super built-up  Area,Koramangala,1320,2,2,1,165
Super built-up  Area,Kodigehalli,1270,2,2,1,98
Built-up  Area,Patelappa Layout,1200,2,2,1,62
Super built-up  Area,Ring Road Nagarbhavi,4800,4,4,1,235
Super built-up  Area,NS Palya,1200,2,2,1,74
Super built-up  Area,Subramanyapura,929,2,2,0,50.17
Built-up  Area,RMV 2nd Stage,1150,4,4,2,260
Plot  Area,Basavangudi,1125,4,4,3,180
Plot  Area,Kenchenahalli,500,5,3,2,65
Plot  Area,3rd Block Hrbr Layout,1200,5,5,2,190
Super built-up  Area,KUDLU MAIN ROAD,1464,3,3,2,56
Super built-up  Area,7th Phase JP Nagar,3600,4,4,3,400
Plot  Area,Bank Avenue,2000,4,4,2,99
Super built-up  Area,Chikkalasandra,1208,2,2,1,49
Super built-up  Area,Hebbal Kempapura,1130,2,2,2,60
Super built-up  Area,Surabhi Layout,1753,3,3,2,120
Super built-up  Area,Old Madras Road,4500,5,7,3,337
Plot  Area,Banjara Layout,600,3,3,2,58
Super built-up  Area,Hoodi,1196,2,2,2,94.42
